crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
1130,5,technology,105,9.073717948717949,1703554204225326322
1130,2,transport,105,9.073717948717949,1703554204225326322
1130,29,climate_environment,105,9.073717948717949,1703554204225326322
1130,37,finance,105,9.073717948717949,1703554204225326322
1140,6,health,105,9.073717948717949,1703554213759268067
1140,9,education,105,9.073717948717949,1703554213759268067
1140,3,Agriculture,105,9.073717948717949,1703554213759268067
1140,5,technology,105,9.073717948717949,1703554213759268067
1140,2,transport,105,9.073717948717949,1703554213759268067
1140,29,climate_environment,105,9.073717948717949,1703554213759268067
1140,37,finance,105,9.073717948717949,1703554213759268067
1150,6,health,105,9.638134057971016,1703554222542674549
1150,9,education,105,9.638134057971016,1703554222542674549
1150,3,Agriculture,105,9.638134057971016,1703554222542674549
1150,5,technology,105,9.638134057971016,1703554222542674549
1150,2,transport,105,9.638134057971016,1703554222542674549
1150,29,climate_environment,105,9.638134057971016,1703554222542674549
1150,38,finance,105,9.638134057971016,1703554222542674549
1160,6,health,105,9.638134057971016,1703554231708134543
1160,9,education,105,9.638134057971016,1703554231708134543
1160,3,Agriculture,105,9.638134057971016,1703554231708134543
1160,5,technology,105,9.638134057971016,1703554231708134543
1160,2,transport,105,9.638134057971016,1703554231708134543
1160,29,climate_environment,105,9.638134057971016,1703554231708134543
1160,38,finance,105,9.638134057971016,1703554231708134543
1170,6,health,105,9.738799283154123,1703554240612292969
1170,9,education,105,9.738799283154123,1703554240612292969
1170,3,Agriculture,105,9.738799283154123,1703554240612292969
1170,5,technology,105,9.738799283154123,1703554240612292969
1170,2,transport,105,9.738799283154123,1703554240612292969
1170,29,climate_environment,105,9.738799283154123,1703554240612292969
1170,39,finance,105,9.738799283154123,1703554240612292969
1180,6,health,105,9.738799283154123,1703554254945505845
1180,9,education,105,9.738799283154123,1703554254945505845
1180,3,Agriculture,105,9.738799283154123,1703554254945505845
1180,5,technology,105,9.738799283154123,1703554254945505845
1180,2,transport,105,9.738799283154123,1703554254945505845
1180,29,climate_environment,105,9.738799283154123,1703554254945505845
1180,39,finance,105,9.738799283154123,1703554254945505845
1190,6,health,105,9.7947695035461,1703554264034258866
1190,9,education,105,9.7947695035461,1703554264034258866
1190,3,Agriculture,105,9.7947695035461,1703554264034258866
1190,5,technology,105,9.7947695035461,1703554264034258866
1190,2,transport,105,9.7947695035461,1703554264034258866
1190,29,climate_environment,105,9.7947695035461,1703554264034258866
1190,40,finance,105,9.7947695035461,1703554264034258866
1200,6,health,105,9.7947695035461,1703554273022486787
1200,9,education,105,9.7947695035461,1703554273022486787
1200,3,Agriculture,105,9.7947695035461,1703554273022486787
1200,5,technology,105,9.7947695035461,1703554273022486787
1200,2,transport,105,9.7947695035461,1703554273022486787
1200,29,climate_environment,105,9.7947695035461,1703554273022486787
1200,40,finance,105,9.7947695035461,1703554273022486787
1210,6,health,105,9.7947695035461,1703554281686367955
1210,9,education,105,9.7947695035461,1703554281686367955
1210,3,Agriculture,105,9.7947695035461,1703554281686367955
1210,5,technology,105,9.7947695035461,1703554281686367955
1210,2,transport,105,9.7947695035461,1703554281686367955
1210,29,climate_environment,105,9.7947695035461,1703554281686367955
1210,40,finance,105,9.7947695035461,1703554281686367955
1220,6,health,105,10.017982456140352,1703554296132911828
1220,9,education,105,10.017982456140352,1703554296132911828
1220,3,Agriculture,105,10.017982456140352,1703554296132911828
1220,5,technology,105,10.017982456140352,1703554296132911828
1220,2,transport,105,10.017982456140352,1703554296132911828
1220,29,climate_environment,105,10.017982456140352,1703554296132911828
1220,41,finance,105,10.017982456140352,1703554296132911828
1230,6,health,105,10.04904513888889,1703554315454161542
1230,9,education,105,10.04904513888889,1703554315454161542
1230,3,Agriculture,105,10.04904513888889,1703554315454161542
1230,5,technology,105,10.04904513888889,1703554315454161542
1230,2,transport,105,10.04904513888889,1703554315454161542
1230,30,climate_environment,105,10.04904513888889,1703554315454161542
1230,41,finance,105,10.04904513888889,1703554315454161542
1240,6,health,105,9.925595238095239,1703554326797627913
1240,9,education,105,9.925595238095239,1703554326797627913
1240,3,Agriculture,105,9.925595238095239,1703554326797627913
1240,5,technology,105,9.925595238095239,1703554326797627913
1240,2,transport,105,9.925595238095239,1703554326797627913
1240,30,climate_environment,105,9.925595238095239,1703554326797627913
1240,43,finance,105,9.925595238095239,1703554326797627913
1250,6,health,105,9.925595238095239,1703554338223021117
1250,9,education,105,9.925595238095239,1703554338223021117
1250,3,Agriculture,105,9.925595238095239,1703554338223021117
1250,5,technology,105,9.925595238095239,1703554338223021117
1250,2,transport,105,9.925595238095239,1703554338223021117
1250,30,climate_environment,105,9.925595238095239,1703554338223021117
1250,43,finance,105,9.925595238095239,1703554338223021117
1260,6,health,105,10.037457912457914,1703554349738224403
1260,10,education,105,10.037457912457914,1703554349738224403
1260,3,Agriculture,105,10.037457912457914,1703554349738224403
1260,5,technology,105,10.037457912457914,1703554349738224403
1260,2,transport,105,10.037457912457914,1703554349738224403
1260,30,climate_environment,105,10.037457912457914,1703554349738224403
1260,43,finance,105,10.037457912457914,1703554349738224403
1270,6,health,105,10.037457912457914,1703554360618305702
1270,10,education,105,10.037457912457914,1703554360618305702
1270,3,Agriculture,105,10.037457912457914,1703554360618305702
1270,5,technology,105,10.037457912457914,1703554360618305702
1270,2,transport,105,10.037457912457914,1703554360618305702
1270,30,climate_environment,105,10.037457912457914,1703554360618305702
1270,43,finance,105,10.037457912457914,1703554360618305702
1280,7,health,105,10.177083333333334,1703554373727099652
1280,10,education,105,10.177083333333334,1703554373727099652
1280,3,Agriculture,105,10.177083333333334,1703554373727099652
1280,5,technology,105,10.177083333333334,1703554373727099652
1280,2,transport,105,10.177083333333334,1703554373727099652
1280,30,climate_environment,105,10.177083333333334,1703554373727099652
1280,43,finance,105,10.177083333333334,1703554373727099652
1290,7,health,105,10.177083333333334,1703554387256420033
